timestamp,x,y,vx,vy,yaw
1754794573.779196,0.100000,1.000000,0.662371,-0.335461,0.140663
1754794573.829242,0.100000,1.000000,0.538145,-0.287311,0.121430
1754794573.929853,0.100000,1.000000,0.261584,-0.775023,0.384432
1754794574.029012,0.100000,1.000000,0.196626,-0.582957,0.293610
1754794574.054649,0.100000,1.000000,0.292992,-0.544916,0.268021
1754794574.154577,0.100000,1.000000,0.402778,-0.400740,0.188654
1754794574.179009,0.100000,1.000000,0.501339,-0.162817,0.068686
1754794574.254693,0.100000,1.100000,0.533213,-0.171906,0.067211
1754794574.279150,0.100000,1.000000,0.453701,0.170647,-0.088910
1754794574.304185,0.100000,1.000000,0.757856,0.074071,-0.041945
1754794574.329335,0.100000,1.100000,0.926713,0.739672,-0.384577
1754794574.354676,0.100000,1.100000,1.018973,0.435108,-0.228189
1754794574.378950,0.100000,1.100000,0.834179,0.252132,-0.134121
1754794574.404024,0.100000,1.100000,1.191683,0.080982,-0.048265
1754794574.429132,0.100000,1.100000,0.938816,0.687955,-0.345333
1754794574.454466,0.100000,1.200000,0.818139,-0.010022,0.005299
1754794574.479084,0.000000,1.100000,0.508199,0.315581,-0.145763
1754794577.428686,0.200000,-0.900000,0.332323,0.223420,-0.134779
1754794577.504687,0.200000,-0.900000,0.363739,0.091400,-0.067728
1754794577.528975,0.200000,-0.900000,0.472141,-0.041797,0.000662
1754794577.554527,0.100000,-0.900000,0.616704,-0.180131,0.068187
1754794577.580550,0.200000,-0.900000,0.634757,-0.323621,0.147691
1754794577.604666,0.200000,-0.900000,0.527309,-0.360893,0.167493
1754794577.629098,0.100000,-0.900000,0.675946,-0.347970,0.163157
1754794577.654185,0.100000,-0.900000,0.664179,-0.327217,0.154543
1754794577.678903,0.100000,-0.900000,0.813431,-0.613799,0.296525
1754794577.704701,0.100000,-0.900000,1.091239,-0.671160,0.309305
1754794577.729106,0.100000,-0.900000,1.009118,-0.266302,0.101970
1754794577.754396,0.100000,-1.000000,0.921742,0.251602,-0.142400
1754794577.779210,0.100000,-1.000000,0.933041,0.118736,-0.073237
1754794577.804618,0.100000,-0.900000,1.138559,-0.605966,0.275406
1754794577.829122,0.100000,-1.000000,0.943105,-0.308926,0.155174
1754794577.854674,0.100000,-1.000000,0.948880,-0.310524,0.155329
1754794577.879267,0.100000,-1.000000,0.950584,-0.311057,0.155363
1754794577.904630,0.100000,-1.000000,0.949281,-0.311338,0.155657
1754794577.929188,0.100000,-1.000000,0.777398,-0.142306,0.068272
1754794580.229743,0.100000,1.700000,0.573439,-0.148251,0.063839
1754794631.455300,2.300000,-1.600000,0.509637,0.425849,-0.203622
1754794631.628610,0.100000,0.900000,0.613128,-0.330003,0.146828
1754794631.704147,0.100000,0.900000,0.532611,-0.403564,0.187754
1754794631.728737,0.100000,0.900000,0.605007,-0.536176,0.255261
1754794631.753952,0.100000,0.900000,0.527564,-0.454839,0.214521
1754794631.778780,0.100000,0.900000,0.497013,-0.450557,0.210608
1754794631.805277,0.100000,0.900000,0.545331,-0.283342,0.126089
1754794632.078720,0.100000,0.700000,0.900490,-0.259489,0.098417
1754794632.128627,0.100000,0.700000,0.952172,-0.301318,0.124114
1754794632.155349,0.100000,0.700000,0.933900,-0.429187,0.190924
1754794632.178802,0.100000,0.700000,0.650164,-0.128927,0.050245
1754794632.278625,0.100000,0.700000,0.427199,-0.330224,0.161299
1754794632.304237,0.200000,0.700000,0.425374,-0.078258,0.028759
1754794632.354771,0.100000,0.700000,0.454073,-0.303092,0.148780
1754794632.578942,0.100000,0.800000,0.733169,-0.802773,0.386776
1754794632.654419,0.100000,0.800000,0.809593,-0.765134,0.371945
1754794632.678613,0.100000,0.800000,0.652741,-0.881993,0.442971
1754794632.704541,0.100000,0.800000,1.065953,-0.753162,0.363187
1754794632.728634,0.100000,0.900000,0.822133,-0.378758,0.178979
1754794632.754346,0.100000,0.900000,0.796394,-0.495652,0.233272
1754794632.778692,0.100000,0.900000,1.005302,-0.105738,0.033564
1754794632.804426,0.100000,0.900000,0.891245,-0.270738,0.120251
1754794632.828617,0.100000,0.900000,0.771951,-0.177487,0.079163
1754794632.854115,0.100000,0.900000,0.718902,-0.211711,0.089556
1754794632.878650,0.100000,0.900000,0.659542,-0.000966,-0.017900
1754794632.904974,0.100000,0.900000,0.944360,0.228111,-0.126963
1754794632.928656,0.100000,0.900000,1.204996,0.119995,-0.062719
1754794632.955742,0.100000,0.900000,1.204996,0.119995,-0.062719
1754794632.978640,0.100000,0.900000,1.204996,0.119995,-0.062719
1754794633.004269,0.100000,0.900000,1.149578,0.034412,-0.029658
1754794633.028610,0.100000,0.900000,1.090445,-0.186251,0.085718
1754794633.054883,0.100000,0.900000,1.166248,-0.140611,0.052017
1754794633.078627,0.100000,-2.300000,0.908962,0.638957,-0.334239
1754794633.104209,0.100000,-2.400000,0.921717,0.925288,-0.489485
1754794633.128709,0.100000,-2.400000,0.938714,0.750356,-0.391792
1754794633.154759,0.100000,-2.400000,0.742710,0.894438,-0.479081
1754794633.178759,0.100000,0.800000,0.756417,-0.204545,0.104692
1754794633.205339,0.100000,0.800000,0.756417,-0.204545,0.104692
1754794633.228650,0.100000,0.800000,0.756417,-0.204545,0.104692
1754794634.928748,0.100000,-2.600000,0.594347,-0.089336,0.033168
1754794635.154576,0.100000,-2.500000,0.375329,0.634170,-0.331395
1754794648.356368,0.600000,-1.100000,0.822784,-0.243520,0.097482
1754794651.178717,0.200000,-0.700000,0.487093,-0.459356,0.223711
1754794651.208123,0.200000,-0.700000,0.443944,-0.711300,0.350341
1754794651.228734,0.200000,-0.700000,0.730691,-0.545549,0.247106
1754794651.258821,0.200000,-0.700000,0.687117,-0.307290,0.144023
1754794651.854881,0.100000,-0.500000,0.377231,0.231730,-0.141672
1754794651.928678,0.100000,-0.500000,0.469262,0.097785,-0.070651
1754794651.955648,0.100000,-0.400000,0.822091,0.283109,-0.173258
1754794651.978767,0.100000,-0.400000,0.307975,0.406321,-0.222605
1754794652.005071,0.100000,-0.400000,0.352838,0.241979,-0.147534
1754794652.104037,0.200000,-0.500000,0.524349,0.062102,-0.052490
1754794652.129156,0.100000,-0.500000,0.658383,-0.100678,0.024951
1754794652.154068,0.200000,-0.500000,0.634757,-0.323621,0.147691
1754794652.179142,0.200000,-0.500000,0.527309,-0.360893,0.167493
1754794652.204359,0.100000,-0.500000,0.675946,-0.347970,0.163157
1754794652.228627,0.100000,-0.500000,0.813431,-0.613799,0.296525
1754794652.258080,0.100000,-0.500000,1.091239,-0.671160,0.309305
1754794652.278727,0.100000,-0.500000,0.998929,-0.572500,0.257740
1754794652.304341,0.100000,-0.500000,0.998929,-0.572500,0.257740
1754794652.328739,0.100000,-0.500000,0.998929,-0.572500,0.257740
1754794652.355588,0.100000,-0.600000,0.893681,0.443813,-0.234426
1754794652.378847,0.100000,-0.600000,0.933041,0.118736,-0.073237
1754794652.404505,0.100000,-0.600000,0.933041,0.118736,-0.073237
1754794652.428674,0.100000,-0.600000,0.933041,0.118736,-0.073237
1754794652.456250,0.100000,-0.500000,0.865143,-0.760131,0.363180
1754794652.478794,0.100000,-0.600000,0.847182,-0.445322,0.229164
1754794652.507433,0.100000,-0.600000,1.156929,-0.666337,0.316510
1754794652.528725,0.100000,-0.600000,0.856239,-0.449100,0.194562
1754794652.556961,0.100000,-0.600000,1.149410,-0.591850,0.269702
1754794652.578838,0.100000,-0.600000,1.119318,-0.816162,0.382876
1754794652.606508,0.100000,-0.600000,0.947838,-0.629803,0.299855
1754794652.628774,0.100000,-0.600000,0.943105,-0.308926,0.155174
1754794652.656202,0.100000,-0.600000,0.943105,-0.308926,0.155174
1754794652.678625,0.100000,-0.600000,0.943105,-0.308926,0.155174
1754794652.709493,0.100000,-0.600000,0.943105,-0.308926,0.155174
1754794652.728749,0.100000,-0.600000,0.943105,-0.308926,0.155174
1754794652.754664,0.100000,-0.600000,0.943105,-0.308926,0.155174
1754794652.778616,0.100000,-0.600000,1.132663,-0.007302,0.004394
1754794652.806376,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794652.828908,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794652.855245,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794652.878702,0.100000,-0.600000,1.072508,-0.289393,0.141697
1754794652.904648,0.100000,-0.600000,1.132663,-0.007302,0.004394
1754794652.928663,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794652.958041,0.100000,-0.600000,1.072508,-0.289393,0.141697
1754794652.978651,0.100000,-0.600000,1.132663,-0.007302,0.004394
1754794653.004554,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794653.028750,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794653.055019,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794653.078716,0.100000,-0.600000,1.631993,0.015790,-0.010854
1754794653.106020,0.100000,-0.600000,1.292083,0.056324,-0.029676
1754794653.128685,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794653.156070,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794653.178770,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794653.204651,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794653.228773,0.100000,-0.600000,1.631993,0.015790,-0.010854
1754794653.256007,0.100000,-0.600000,1.292083,0.056324,-0.029676
1754794653.278658,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794653.307848,0.100000,-0.600000,1.085402,0.015645,-0.008498
1754794653.328635,0.100000,-0.600000,1.085402,0.015645,-0.008498
