timestamp,x,y,vx,vy,yaw
1754795308.319410,0.100000,-0.500000,0.975556,-0.427091,0.192304
1754795308.346778,0.100000,-0.500000,0.975556,-0.427091,0.192304
1754795308.369182,0.200000,-0.500000,1.019466,-0.225962,0.104062
1754795308.395461,0.200000,-0.500000,0.902608,-0.044923,0.012536
1754795308.419343,0.200000,-0.500000,0.902608,-0.044923,0.012536
1754795308.445658,0.100000,-0.500000,0.936584,-0.260021,0.107103
1754795308.469174,0.200000,-0.500000,1.019466,-0.225962,0.104062
1754795308.496406,0.100000,-0.500000,0.936584,-0.260021,0.107103
1754795308.519193,0.100000,-0.500000,0.975556,-0.427091,0.192304
1754795308.546401,0.200000,-0.500000,1.019466,-0.225962,0.104062
1754795308.569310,0.100000,-0.500000,0.936584,-0.260021,0.107103
1754795308.595743,0.100000,-0.500000,0.975556,-0.427091,0.192304
1754795308.619355,0.200000,-0.500000,1.019466,-0.225962,0.104062
1754795308.646493,0.100000,-0.500000,0.936584,-0.260021,0.107103
1754795308.669191,0.100000,-0.500000,0.975556,-0.427091,0.192304
1754795308.697519,0.200000,-0.500000,1.019466,-0.225962,0.104062
1754795308.719270,0.200000,-0.500000,0.902608,-0.044923,0.012536
1754795308.746881,0.200000,-0.500000,0.902608,-0.044923,0.012536
1754795308.769243,0.200000,-0.500000,0.902608,-0.044923,0.012536
1754795308.796399,0.100000,-0.500000,0.936584,-0.260021,0.107103
1754795308.819186,0.100000,-0.500000,1.022809,-0.325703,0.146118
1754795308.846320,0.200000,-0.500000,1.180993,-0.221701,0.108156
1754795308.869276,0.100000,-0.500000,0.936584,-0.260021,0.107103
1754795308.896354,0.200000,-0.500000,1.019466,-0.225962,0.104062
1754795308.919307,0.200000,-0.500000,0.902608,-0.044923,0.012536
1754795308.945774,0.200000,-0.500000,0.902608,-0.044923,0.012536
1754795308.969286,0.100000,-0.500000,1.052024,-0.295620,0.129815
1754795308.996653,0.200000,-0.500000,1.180993,-0.221701,0.108156
1754795309.019170,0.200000,-0.500000,0.902608,-0.044923,0.012536
1754795309.046066,0.200000,-0.500000,0.902608,-0.044923,0.012536
1754795309.069185,0.100000,-0.500000,0.936584,-0.260021,0.107103
1754795309.096511,0.100000,-0.500000,0.975556,-0.427091,0.192304
1754795309.119251,0.100000,-0.500000,1.022809,-0.325703,0.146118
1754795309.146126,0.200000,-0.500000,1.180993,-0.221701,0.108156
1754795309.169307,0.100000,-0.500000,0.936584,-0.260021,0.107103
1754795309.196455,0.100000,-0.500000,0.975556,-0.427091,0.192304
1754795323.546235,2.700000,-0.600000,0.279998,0.438902,-0.223417
1754795323.569218,2.700000,-0.600000,0.319916,0.648358,-0.326809
1754795323.595583,2.700000,-0.600000,0.483764,0.203854,-0.097403
1754795323.619370,2.600000,-0.700000,1.087702,-0.144051,0.070304
1754795323.646195,2.500000,-0.700000,0.504294,-0.316047,0.135539
1754795323.696122,2.600000,-0.600000,0.456926,0.737741,-0.370668
1754795323.719205,2.600000,-0.600000,0.336315,0.720919,-0.370977
1754795323.846371,2.400000,-0.600000,0.152369,0.514928,-0.279677
1754795323.945445,2.400000,-0.700000,0.578490,0.029060,-0.015475
1754795323.969300,2.300000,-0.800000,1.046880,-0.490776,0.209050
1754795324.019163,2.300000,-0.800000,0.573045,-0.094075,0.039676
1754795324.069300,0.000000,1.900000,0.441276,0.186825,-0.092172
1754795324.096217,0.000000,1.900000,0.441276,0.186825,-0.092172
