timestamp,x,y,vx,vy,yaw
1754742148.399462,2.900000,1.400000,0.374486,-0.481284,0.241901
1754742148.425220,2.800000,1.500000,0.590966,-0.361216,0.193310
1754742148.449461,2.800000,1.500000,0.488356,-0.327559,0.175010
1754742148.499331,2.800000,1.500000,1.074421,-0.396881,0.204881
1754742148.525025,2.800000,1.500000,0.751523,-0.030185,0.035363
1754742148.599390,2.700000,1.500000,1.052784,-0.281968,0.155171
1754742148.625013,2.700000,1.400000,1.032023,-0.716396,0.330323
1754742148.649506,2.700000,1.400000,1.096022,-1.068833,0.508300
1754742148.675341,2.700000,1.400000,0.920327,-0.539812,0.264083
1754742148.699463,2.700000,1.400000,1.263239,-0.469804,0.230205
1754742148.724854,2.700000,1.400000,1.088519,0.159336,-0.068640
1754742148.749466,2.700000,1.300000,0.937169,-0.356495,0.159065
1754742148.775467,2.700000,1.200000,1.003962,-1.398593,0.662521
1754742148.799553,2.700000,1.200000,0.811824,-1.080180,0.517631
1754742148.824814,2.700000,1.200000,0.615883,-1.314232,0.649999
1754742148.849465,2.700000,1.200000,0.472276,-1.278391,0.642208
1754742148.875084,2.600000,1.300000,0.760533,0.022088,-0.016965
1754742148.899340,2.600000,1.300000,0.686082,0.213285,-0.110486
1754742148.924943,2.600000,1.300000,0.648379,0.462112,-0.229538
1754742148.949396,2.600000,1.300000,0.702201,0.384770,-0.193188
1754742149.099472,0.200000,1.300000,0.554456,0.212576,-0.128442
1754742149.125226,2.500000,1.000000,0.543742,-0.333052,0.163525
1754742149.149461,0.100000,1.300000,1.022939,-0.272668,0.110734
1754742149.175272,0.100000,1.300000,0.780089,-0.256471,0.114004
1754742149.199465,2.500000,1.000000,0.562175,-0.088452,0.039254
1754742149.224899,0.100000,1.300000,0.615288,-0.132676,0.053084
1754742149.249400,0.100000,1.300000,0.813030,-0.446310,0.214068
1754742149.275000,0.100000,1.300000,0.597771,-0.304006,0.143269
1754742149.299395,2.400000,0.900000,0.586999,-0.930808,0.478820
1754742149.325236,2.400000,0.900000,0.326171,-0.870950,0.442298
1754742149.349421,2.300000,1.000000,0.888127,-0.593904,0.264649
1754742149.375070,2.300000,1.000000,1.017654,-0.113727,0.061599
1754742149.399351,2.300000,1.000000,1.083313,-0.632289,0.301882
1754742149.424786,2.300000,1.000000,0.535518,-0.462729,0.237559
1754742149.449332,2.200000,1.100000,0.793596,0.296290,-0.130428
1754742149.474601,2.200000,1.100000,0.567730,0.427363,-0.195480
1754742149.499349,2.200000,1.000000,0.465398,-0.107055,0.053673
1754742149.525323,2.200000,1.000000,0.569104,-0.192401,0.088833
1754742149.549334,2.200000,0.900000,0.575006,-0.366179,0.153552
1754742149.599463,2.100000,1.000000,0.587237,-0.058419,0.008609
1754742149.625316,2.100000,1.000000,0.581110,-0.148410,0.069710
1754742149.649464,2.100000,0.900000,0.497061,-0.249335,0.105398
1754742149.699402,2.100000,0.900000,0.372990,-0.353503,0.179531
1754742149.749466,0.100000,1.400000,0.711111,0.205508,-0.103953
1754742149.775302,2.000000,0.900000,0.427249,-0.617079,0.310644
1754742149.799461,0.000000,1.500000,0.699979,0.431259,-0.205461
1754742149.849720,1.900000,1.000000,0.718534,-0.157644,0.076548
1754742149.875872,1.900000,1.100000,1.264955,0.394304,-0.170150
1754742149.899478,1.900000,1.000000,1.044440,-0.022691,-0.002426
1754742149.925173,1.900000,1.000000,0.474229,-0.475213,0.241390
1754742149.949378,1.900000,1.000000,0.515743,-0.469163,0.245120
1754742149.975638,1.800000,1.100000,0.751865,0.313774,-0.139012
1754742149.999557,1.800000,1.100000,0.839306,0.467676,-0.219249
1754742150.025505,1.800000,1.100000,0.907536,0.602923,-0.305743
1754742150.049650,1.700000,1.000000,0.631013,-0.052283,0.007832
1754742150.075264,1.800000,0.900000,0.501218,-0.421760,0.189973
1754742150.099367,1.700000,1.000000,0.704266,-0.069028,0.016053
1754742150.124816,1.700000,1.000000,0.672709,-0.193188,0.077042
1754742150.149601,1.700000,1.000000,0.587361,-0.168062,0.070966
1754742150.176002,1.700000,0.900000,0.398023,-0.263114,0.119362
1754742150.199325,1.700000,0.900000,0.343526,-0.392448,0.200172
1754742150.349341,1.500000,1.000000,0.699346,-0.324548,0.149247
1754742150.375682,1.500000,1.100000,1.209658,0.335231,-0.140835
1754742150.399312,1.500000,1.000000,0.819296,-0.466130,0.240469
1754742150.425780,1.500000,1.000000,0.815677,-0.586636,0.306218
1754742150.449469,1.500000,1.000000,0.513269,-0.556938,0.294413
1754742150.475094,1.400000,1.000000,0.889967,-0.065943,0.027901
1754742150.499318,1.400000,1.000000,1.102831,-0.180898,0.076509
1754742150.525001,1.400000,1.000000,0.832062,-0.246315,0.103038
1754742150.574917,1.300000,1.000000,0.669872,-0.245603,0.105962
1754742150.625398,1.300000,1.000000,0.721345,-0.084251,0.022016
1754742150.649467,1.300000,0.900000,0.482084,-0.236365,0.102984
1754742150.675300,1.300000,0.900000,0.444651,-0.293892,0.134779
1754742150.699329,1.300000,0.900000,0.480485,-0.397191,0.197813
1754742150.875268,1.100000,1.100000,0.721626,0.574814,-0.275849
1754742150.899467,1.100000,1.100000,0.835968,0.490954,-0.218693
1754742150.925253,1.100000,1.000000,0.579505,-0.120171,0.060725
1754742150.949350,1.100000,1.000000,0.967297,-0.323979,0.168911
1754742150.975282,1.000000,1.100000,0.930372,0.717326,-0.342952
1754742150.999484,1.000000,1.100000,0.784181,0.534966,-0.249802
1754742151.025014,1.000000,1.000000,0.726462,0.091853,-0.056499
1754742151.049387,1.000000,1.000000,0.507894,-0.097631,0.044771
1754742151.099464,1.000000,1.000000,0.783363,-0.272981,0.120462
1754742151.125154,1.000000,1.000000,0.670145,0.102675,-0.063661
1754742151.149544,1.000000,0.900000,0.568484,-0.286972,0.128780
1754742151.175162,1.000000,0.900000,0.643947,-0.071813,0.031459
1754742151.199383,1.000000,1.000000,0.543658,0.607610,-0.305920
1754742151.225289,1.000000,0.800000,0.788637,-0.752799,0.358143
1754742151.249397,1.000000,0.900000,1.079760,-0.062968,0.008002
1754742151.275392,1.000000,0.900000,0.798085,0.110594,-0.062377
1754742151.299328,1.000000,0.900000,0.953024,0.360959,-0.182429
1754742151.324568,1.000000,0.900000,0.960124,0.524640,-0.263803
1754742151.349462,1.000000,0.900000,0.593460,0.552580,-0.280902
1754742151.375205,1.000000,0.700000,0.547980,-0.761145,0.359285
1754742151.399469,1.000000,0.700000,0.702549,-0.773833,0.359035
1754742151.425313,1.000000,0.700000,0.607437,-0.642527,0.297476
1754742151.449457,1.000000,0.700000,0.649138,-1.004795,0.483108
1754742151.475364,1.000000,0.700000,0.688949,-0.565978,0.246999
1754742151.499388,1.000000,0.700000,0.490233,-0.641439,0.305890
1754742151.524856,1.000000,0.700000,0.464200,-0.192821,0.086720
1754742151.549477,1.000000,0.600000,0.388311,-1.026620,0.520576
1754742151.575301,1.000000,0.700000,0.360402,-0.743264,0.361151
1754742151.599352,1.000000,0.700000,0.352672,-0.251855,0.124268
