# x_m,y_m,w_tr_right_m,w_tr_left_m
0.9557,4.7857,0.8000,0.8000
0.9057,4.7857,0.8000,0.8000
0.9057,4.7357,0.8000,0.8000
0.9557,4.7357,0.8000,0.8000
1.0057,4.7857,0.7500,0.7500
1.0057,4.7357,0.7500,0.7500
0.9557,4.6857,0.8000,0.8000
0.9057,4.6857,0.8000,0.8000
0.9057,4.6357,0.8000,0.8000
0.9557,4.6357,0.8000,0.8000
1.0057,4.6857,0.7500,0.7500
1.0057,4.6357,0.7500,0.7500
0.9557,4.5857,0.8000,0.8000
0.9057,4.5857,0.8000,0.8000
0.9057,4.5357,0.8000,0.8000
0.9557,4.5357,0.8000,0.8000
1.0057,4.5857,0.7500,0.7500
1.0057,4.5357,0.7500,0.7500
0.9557,4.4857,0.8000,0.8000
0.9057,4.4857,0.8000,0.8000
0.9057,4.4357,0.8000,0.8000
0.9557,4.4357,0.8000,0.8000
1.0057,4.4857,0.7500,0.7500
1.0057,4.4357,0.7500,0.7500
0.9557,4.3857,0.8000,0.8000
0.9057,4.3857,0.8000,0.8000
0.9057,4.3357,0.8000,0.8000
0.9557,4.3357,0.8000,0.8000
1.0057,4.3857,0.7500,0.7500
1.0057,4.3357,0.7500,0.7500
0.9557,4.2857,0.8000,0.8000
0.9057,4.2857,0.8000,0.8000
0.9057,4.2357,0.8000,0.8000
0.9557,4.2357,0.8000,0.8000
1.0057,4.2857,0.7500,0.7500
1.0057,4.2357,0.7500,0.7500
0.9557,4.1857,0.8000,0.8000
0.9057,4.1857,0.8000,0.8000
0.9057,4.1357,0.8000,0.8000
0.9557,4.1357,0.8000,0.8000
1.0057,4.1857,0.7500,0.7500
1.0057,4.1357,0.7500,0.7500
0.9557,4.0857,0.8000,0.8000
0.9057,4.0857,0.8000,0.8000
0.9057,4.0357,0.8000,0.8000
0.9557,4.0357,0.8000,0.8000
1.0057,4.0857,0.7500,0.7500
1.0057,4.0357,0.7500,0.7500
0.9557,3.9857,0.8000,0.8000
0.9057,3.9857,0.8000,0.8000
0.9057,3.9357,0.7906,0.7906
0.9557,3.9357,0.8000,0.8000
1.0057,3.9857,0.7500,0.7500
1.0057,3.9357,0.7500,0.7500
0.9557,3.8857,0.8000,0.8000
0.9057,3.8857,0.7762,0.7762
0.9057,3.8357,0.7649,0.7649
0.9557,3.8357,0.8000,0.8000
1.0057,3.8857,0.7500,0.7500
1.0057,3.8357,0.7500,0.7500
0.9557,3.7857,0.8000,0.8000
0.9057,3.7857,0.7566,0.7566
0.9057,3.7357,0.7517,0.7517
0.9557,3.7357,0.8000,0.8000
1.0057,3.7857,0.7500,0.7500
1.0057,3.7357,0.7500,0.7500
0.9557,3.6857,0.8000,0.8000
0.9057,3.6857,0.7500,0.7500
0.9057,3.6357,0.7500,0.7500
0.9557,3.6357,0.8000,0.8000
1.0057,3.6857,0.7500,0.7500
1.0057,3.6357,0.7500,0.7500
0.9557,3.5857,0.8000,0.8000
0.9057,3.5857,0.7500,0.7500
0.9057,3.5357,0.7500,0.7500
0.9557,3.5357,0.8000,0.8000
1.0057,3.5857,0.7500,0.7500
1.0057,3.5357,0.7500,0.7500
0.9557,3.4857,0.8000,0.8000
0.9057,3.4857,0.7500,0.7500
0.9057,3.4357,0.7500,0.7500
0.9557,3.4357,0.8000,0.8000
1.0057,3.4857,0.7500,0.7500
1.0057,3.4357,0.7500,0.7500
0.9557,3.3857,0.8000,0.8000
0.9057,3.3857,0.7500,0.7500
0.9057,3.3357,0.7433,0.7433
0.9557,3.3357,0.7906,0.7906
1.0057,3.3857,0.7500,0.7500
1.0057,3.3357,0.7500,0.7500
0.9557,3.2857,0.7762,0.7762
0.9057,3.2857,0.7280,0.7280
0.9057,3.2357,0.7159,0.7159
0.9557,3.2357,0.7649,0.7649
1.0057,3.2857,0.7500,0.7500
1.0057,3.2357,0.7500,0.7500
0.9557,3.1857,0.7566,0.7566
0.9057,3.1857,0.7071,0.7071
0.9057,3.1357,0.7018,0.7018
0.9557,3.1357,0.7517,0.7517
1.0057,3.1857,0.7500,0.7500
1.0057,3.1357,0.7500,0.7500
0.9557,3.0857,0.7500,0.7500
1.0057,3.0857,0.7500,0.7500
1.0557,3.0857,0.7000,0.7000
1.0057,3.0357,0.7500,0.7500
0.9557,3.0357,0.7500,0.7500
0.9557,2.9857,0.7500,0.7500
1.0057,2.9857,0.7517,0.7517
1.0557,3.0357,0.7000,0.7000
1.0557,2.9857,0.7018,0.7018
1.0057,2.9357,0.7566,0.7566
1.0557,2.9357,0.7071,0.7071
1.1057,2.9357,0.6576,0.6576
1.0557,2.8857,0.7159,0.7159
1.0057,2.8857,0.7649,0.7649
1.0057,2.8357,0.7762,0.7762
1.0557,2.8357,0.7280,0.7280
1.1057,2.8857,0.6671,0.6671
1.1057,2.8357,0.6801,0.6801
1.0557,2.7857,0.7433,0.7433
1.1057,2.7857,0.6964,0.6964
1.1557,2.7857,0.6500,0.6500
1.1057,2.7357,0.7159,0.7159
1.0557,2.7357,0.7616,0.7616
1.1057,2.6857,0.7382,0.7382
1.1557,2.7357,0.6708,0.6708
1.1557,2.6857,0.6946,0.6946
1.2057,2.6857,0.6500,0.6500
1.1557,2.6357,0.7159,0.7159
1.1057,2.6357,0.7616,0.7616
1.1557,2.5857,0.7382,0.7382
1.2057,2.6357,0.6708,0.6708
1.2057,2.5857,0.6946,0.6946
1.2557,2.5857,0.6519,0.6519
1.2057,2.5357,0.7211,0.7211
1.1557,2.5357,0.7632,0.7632
1.2057,2.4857,0.7500,0.7500
1.2557,2.5357,0.6801,0.6801
1.2557,2.4857,0.7106,0.7106
1.3057,2.4857,0.6727,0.6727
1.2557,2.4357,0.7433,0.7433
1.2057,2.4357,0.7810,0.7810
1.2557,2.3857,0.7778,0.7778
1.3057,2.4357,0.7071,0.7071
1.3057,2.3857,0.7433,0.7433
1.3557,2.3857,0.7071,0.7071
1.3057,2.3357,0.7778,0.7778
1.2557,2.3357,0.8139,0.8139
1.3057,2.2857,0.8139,0.8139
1.3557,2.3357,0.7433,0.7433
1.3557,2.2857,0.7778,0.7778
1.4057,2.2857,0.7433,0.7433
1.3557,2.2357,0.8139,0.8139
1.4057,2.2357,0.7778,0.7778
1.4557,2.2357,0.7433,0.7433
1.4057,2.1857,0.8139,0.8139
1.3557,2.1857,0.8485,0.8485
1.4057,2.1357,0.8515,0.8515
1.4557,2.1857,0.7810,0.7810
1.5057,2.1857,0.7500,0.7500
1.4557,2.1357,0.8201,0.8201
1.5057,2.1357,0.7906,0.7906
1.5557,2.1357,0.7632,0.7632
1.6057,2.1357,0.7382,0.7382
1.5557,2.0857,0.8062,0.8062
1.5057,2.0857,0.8322,0.8322
1.5557,2.0357,0.8500,0.8500
1.6057,2.0857,0.7826,0.7826
1.6557,2.0857,0.7616,0.7616
1.7057,2.0857,0.7382,0.7382
1.6557,2.0357,0.8062,0.8062
1.6057,2.0357,0.8276,0.8276
1.6557,1.9857,0.8500,0.8500
1.7057,2.0357,0.7826,0.7826
1.7557,2.0357,0.7616,0.7616
1.8057,2.0357,0.7433,0.7433
