# x_m,y_m,w_tr_right_m,w_tr_left_m
-43.7000,3.1435,1.1705,1.1705
-43.5000,3.2227,1.1853,1.1853
-43.3000,3.3128,1.1853,1.1853
-43.0965,3.4112,1.1662,1.1662
-42.8853,3.5109,1.1511,1.1511
-42.6748,3.6238,1.1662,1.1662
-42.4721,3.7473,1.1662,1.1662
-42.2828,3.8874,1.1927,1.1927
-42.1147,4.0391,1.2207,1.2207
-41.9643,4.1995,1.1102,1.1102
-41.8407,4.3711,0.9500,0.9500
-41.7386,4.5522,0.9000,0.9000
-41.6490,4.7400,0.8515,0.8515
-41.5721,4.9379,0.8382,0.8382
-41.5010,5.1382,0.8382,0.8382
-41.4246,5.3429,0.8246,0.8246
-41.3380,5.5500,0.8276,0.8276
-41.2388,5.7500,0.8139,0.8139
-41.1172,5.9500,0.7826,0.7826
-40.9900,6.1500,0.7810,0.7810
-40.8643,6.3500,0.7906,0.7906
-40.7373,6.5500,0.7810,0.7810
-40.6139,6.7500,0.7826,0.7826
-40.4958,6.9500,0.7826,0.7826
-40.3853,7.1500,0.8382,0.8382
-40.2782,7.3500,0.8246,0.8246
-40.1704,7.5500,0.8382,0.8382
-40.0613,7.7500,0.9341,0.9341
-39.9430,7.9500,0.9487,0.9487
-39.8175,8.1500,0.9618,0.9618
-39.6925,8.3500,1.0062,1.0062
-39.5755,8.5500,1.0062,1.0062
-39.4599,8.7500,1.0500,1.0500
-39.3597,8.9500,0.9000,0.9000
-39.2689,9.1500,0.8139,0.8139
-39.1821,9.3500,0.8016,0.8016
-39.0979,9.5500,0.7906,0.7906
-39.0121,9.7535,0.8062,0.8062
-38.9147,9.9541,0.7616,0.7616
-38.8064,10.1557,0.7433,0.7433
-38.6786,10.3559,0.7382,0.7382
-38.5266,10.5526,0.7071,0.7071
-38.3528,10.7478,0.7071,0.7071
-38.1643,10.9303,0.6727,0.6727
-37.9658,11.1063,0.6519,0.6519
-37.7634,11.2863,0.6364,0.6364
-37.5576,11.4546,0.6325,0.6325
-37.3535,11.6138,0.6021,0.6021
-37.1500,11.7610,0.6403,0.6403
-36.9500,11.8945,0.6265,0.6265
-36.7500,12.0142,0.6519,0.6519
-36.5500,12.1247,0.6265,0.6265
-36.3500,12.2327,0.5852,0.5852
-36.1429,12.3310,0.6500,0.6500
-35.9312,12.4053,0.7000,0.7000
-35.7156,12.4483,0.7649,0.7649
-35.5086,12.4555,0.8732,0.8732
-35.3168,12.4190,1.0124,1.0124
-35.1547,12.3508,1.1236,1.1236
-35.0238,12.2525,1.0700,1.0700
-34.9232,12.1118,1.0548,1.0548
-34.8617,11.9389,1.0124,1.0124
-34.8448,11.7395,0.9014,0.9014
-34.8743,11.5243,0.8062,0.8062
-34.9485,11.3060,0.7000,0.7000
-35.0619,11.0991,0.6801,0.6801
-35.2053,10.9165,0.6801,0.6801
-35.3663,10.7383,0.6519,0.6519
-35.5458,10.5687,0.6727,0.6727
-35.7427,10.4050,0.6946,0.6946
-35.9513,10.2445,0.6946,0.6946
-36.1626,10.0844,0.7382,0.7382
-36.3713,9.9220,0.7211,0.7211
-36.5563,9.7547,0.7106,0.7106
-36.7149,9.5797,0.7071,0.7071
-36.8429,9.3943,0.6946,0.6946
-36.9361,9.1920,0.6671,0.6671
-36.9867,8.9759,0.7000,0.7000
-36.9906,8.7609,0.7071,0.7071
-36.9475,8.5600,0.7159,0.7159
-36.8604,8.3845,0.7382,0.7382
-36.7361,8.2301,0.7810,0.7810
-36.5851,8.1168,0.7906,0.7906
-36.4145,8.0418,0.7826,0.7826
-36.2242,8.0092,0.6671,0.6671
-36.0234,8.0202,0.6000,0.6000
-35.8169,8.0764,0.5590,0.5590
-35.6076,8.1660,0.5831,0.5831
-35.4035,8.2811,0.6021,0.6021
-35.2000,8.4106,0.6021,0.6021
-35.0000,8.5404,0.6021,0.6021
-34.8000,8.6771,0.6265,0.6265
-34.6000,8.8158,0.6364,0.6364
-34.4000,8.9636,0.6265,0.6265
-34.2000,9.1064,0.6364,0.6364
-34.0000,9.2463,0.6265,0.6265
-33.8000,9.3876,0.6103,0.6103
-33.5965,9.5273,0.6265,0.6265
-33.3924,9.6718,0.6265,0.6265
-33.1831,9.8237,0.6103,0.6103
-32.9766,9.9849,0.6042,0.6042
-32.7723,10.1501,0.6727,0.6727
-32.5814,10.3236,0.6964,0.6964
-32.4127,10.5056,0.7778,0.7778
-32.2727,10.6957,0.7826,0.7826
-32.1657,10.8935,0.8382,0.8382
-32.0938,11.0907,0.8515,0.8515
-32.0532,11.2959,0.8732,0.8732
-32.0409,11.4965,0.8000,0.8000
-32.0645,11.7000,0.7517,0.7517
-32.1157,11.9000,0.7159,0.7159
-32.1874,12.1000,0.6500,0.6500
-32.2743,12.3000,0.6325,0.6325
-32.3665,12.5000,0.6801,0.6801
-32.4581,12.7071,0.6801,0.6801
-32.5301,12.9153,0.6519,0.6519
-32.5790,13.1233,0.6500,0.6500
-32.5966,13.3275,0.6519,0.6519
-32.5765,13.5193,0.6576,0.6576
-32.5193,13.7015,0.6708,0.6708
-32.4265,13.8619,0.6727,0.6727
-32.2965,13.9949,0.6500,0.6500
-32.1277,14.0947,0.6964,0.6964
-31.9185,14.1558,0.7018,0.7018
-31.6672,14.1722,0.7071,0.7071
-31.3722,14.1384,0.7616,0.7616
