# x_m,y_m,w_tr_right_m,w_tr_left_m
-29.9000,12.4000,0.7382,0.7382
-29.8500,12.4000,0.6946,0.6946
-29.9000,12.3500,0.7632,0.7632
-29.9500,12.3500,0.7616,0.7616
-29.9000,12.3000,0.7826,0.7826
-29.8500,12.3500,0.7211,0.7211
-29.8500,12.3000,0.7500,0.7500
-29.8000,12.3000,0.7106,0.7106
-29.8500,12.2500,0.7810,0.7810
-29.9000,12.2500,0.7616,0.7616
-29.8500,12.2000,0.7906,0.7906
-29.8000,12.2500,0.7433,0.7433
-29.8000,12.2000,0.7778,0.7778
-29.7500,12.2000,0.7382,0.7382
-29.8000,12.1500,0.8062,0.8062
-29.7500,12.1500,0.7616,0.7616
-29.7000,12.1500,0.7159,0.7159
-29.7500,12.1000,0.7826,0.7826
-29.8000,12.1000,0.8062,0.8062
-29.7500,12.0500,0.8062,0.8062
-29.7000,12.1000,0.7382,0.7382
-29.7000,12.0500,0.7616,0.7616
-29.6500,12.0500,0.7159,0.7159
-29.7000,12.0000,0.7826,0.7826
-29.7500,12.0000,0.8078,0.8078
-29.7000,11.9500,0.8062,0.8062
-29.6500,12.0000,0.7382,0.7382
-29.6500,11.9500,0.7632,0.7632
-29.6000,11.9500,0.7211,0.7211
-29.6500,11.9000,0.7906,0.7906
-29.7000,11.9000,0.8246,0.8246
-29.6500,11.8500,0.8201,0.8201
-29.6000,11.9000,0.7500,0.7500
-29.6000,11.8500,0.7810,0.7810
-29.5500,11.8500,0.7433,0.7433
-29.6000,11.8000,0.8139,0.8139
-29.6500,11.8000,0.8139,0.8139
-29.6000,11.7500,0.8201,0.8201
-29.5500,11.8000,0.7778,0.7778
-29.5500,11.7500,0.8062,0.8062
-29.5000,11.7500,0.7616,0.7616
-29.5500,11.7000,0.8276,0.8276
-29.6000,11.7000,0.7906,0.7906
-29.5500,11.6500,0.8062,0.8062
-29.5000,11.7000,0.7826,0.7826
-29.5000,11.6500,0.8062,0.8062
-29.4500,11.6500,0.7632,0.7632
-29.5000,11.6000,0.8276,0.8276
-29.5500,11.6000,0.7826,0.7826
-29.5000,11.5500,0.8062,0.8062
-29.4500,11.6000,0.7906,0.7906
-29.4500,11.5500,0.8201,0.8201
-29.4000,11.5500,0.7810,0.7810
-29.4500,11.5000,0.8276,0.8276
-29.5000,11.5000,0.7826,0.7826
-29.4500,11.4500,0.8078,0.8078
-29.4000,11.5000,0.8062,0.8062
-29.4000,11.4500,0.8276,0.8276
-29.3500,11.4500,0.7826,0.7826
-29.4000,11.4000,0.8382,0.8382
-29.4500,11.4000,0.7906,0.7906
-29.4000,11.3500,0.8246,0.8246
-29.3500,11.4000,0.8062,0.8062
-29.3500,11.3500,0.8276,0.8276
-29.3000,11.3500,0.7826,0.7826
-29.3500,11.3000,0.8500,0.8500
-29.4000,11.3000,0.8062,0.8062
-29.3500,11.2500,0.8276,0.8276
-29.3000,11.3000,0.8062,0.8062
-29.3000,11.2500,0.8276,0.8276
-29.2500,11.2500,0.7826,0.7826
-29.3000,11.2000,0.8500,0.8500
-29.3500,11.2000,0.8062,0.8062
-29.3000,11.1500,0.8276,0.8276
-29.2500,11.2000,0.8062,0.8062
-29.2500,11.1500,0.8276,0.8276
-29.2000,11.1500,0.7826,0.7826
-29.2500,11.1000,0.8500,0.8500
-29.3000,11.1000,0.8062,0.8062
-29.3000,11.0500,0.7826,0.7826
-29.2500,11.0500,0.8276,0.8276
-29.2000,11.1000,0.8062,0.8062
-29.2000,11.0500,0.8276,0.8276
-29.2500,11.0000,0.8078,0.8078
-29.2000,11.0000,0.8500,0.8500
-29.1500,11.0000,0.8062,0.8062
-29.2000,10.9500,0.8382,0.8382
-29.2500,10.9500,0.7906,0.7906
-29.2000,10.9000,0.8246,0.8246
-29.1500,10.9500,0.8246,0.8246
-29.1500,10.9000,0.8382,0.8382
-29.1000,10.9000,0.7906,0.7906
-29.1500,10.8500,0.8544,0.8544
-29.2000,10.8500,0.8139,0.8139
-29.1500,10.8000,0.8544,0.8544
-29.1000,10.8500,0.8078,0.8078
-29.1000,10.8000,0.8276,0.8276
-29.0500,10.8000,0.7826,0.7826
-29.1000,10.7500,0.8500,0.8500
-29.1500,10.7500,0.8382,0.8382
